form	count	suttas	gloss	headword
Kusobbhā	3	AN 10.61, AN 10.62	small pools (nom. pl.)	kusobbha
mahāsobbhā	3	AN 10.61, AN 10.62	large pools (nom. pl.)	mahāsobbha
mahāsamuddaṁ	3	AN 10.61, AN 10.62	the great ocean (acc.)	mahāsamudda
sāgaraṁ	3	AN 10.61, AN 10.62	the sea (acc.)	sāgara
Yato	3	Ud 1.1, Ud 1.1, 1.2, 1.3, Iti 24	since, from when	yato
mahatā	3	Ud 8.5	with a large, great (instr.)	mahant
sudaṁ	3	Ud 8.5, Iti 22	(emphatic particle)	sudaṁ
bhattaṁ	3	Ud 8.5	meal (acc.)	bhatta
pakkāmi	3	Ud 8.5, Ud 8.7	departed	pakkamati
khādanīyaṁ	3	Ud 8.5	hard food (acc.)	khādanīya
bhojanīyaṁ	3	Ud 8.5	soft food (acc.)	bhojanīya
sandati	3	Ud 8.5	flows	sandati
tatiyampi	3	Ud 8.5, Ud 8.7	for the third time (tatiyaṁ + pi)	tatiya
cakkacchinnā	3	Ud 8.5	cut up by wheels (nom.)	cakkacchinna
luḷitā	3	Ud 8.5	stirred up (nom.)	luḷita
āvilā	3	Ud 8.5	turbid (nom.)	āvila
sandamānā	3	Ud 8.5	flowing (pres. part.)	sandati
upasaṅkamante	3	Ud 8.5	approaching (loc.)	upasaṅkamati
acchā	3	Ud 8.5	clear (nom.)	accha
vippasannā	3	Ud 8.5	pure, limpid (nom.)	vippasanna
anāvilā	3	Ud 8.5	not turbid, undisturbed (nom.)	anāvila
āvuso	3	Ud 8.5	friend (vocative)	āvuso
paribhuñjitvā	3	Ud 8.5	having used, having consumed	paribhuñjati
antarāmagge	3	Ud 8.7	on the way, mid-road (loc.)	antarāmagga
mallaputto	3	Ud 8.9	Mallaputta, son of the Mallas (nom.)	mallaputta
vehāsaṁ	3	Ud 8.9	into the air (acc.)	vehāsa
abbhuggantvā	3	Ud 8.9	having risen up	abbhuggacchati
ākāse	3	Ud 8.9	in the sky (loc.)	ākāsa
pallaṅkena	3	Ud 8.9	cross-legged (instr.)	pallaṅka
samāpajjitvā	3	Ud 8.9	having entered (an attainment)	samāpajjati
jhāyamānassa	3	Ud 8.9	burning (gen. pres. part.)	jhāyati
ḍayhamānassa	3	Ud 8.9	being burnt (gen.)	ḍayhati
neva	3	Ud 8.9	neither (na + eva)	na
chārikā	3	Ud 8.9	ash (nom.)	chārikā
nivutā	3	Iti 14	obstructed, shrouded (nom. pl.)	nivuta
tatrāpi	2	MN 21	even there (tatra + api)	tatra
yo	2	MN 21, Iti 7	who, which (rel. m. nom.)	ya
sikkhitabbaṁ	2	MN 21	should be trained, to be trained	sikkhati
viharissāma	2	MN 21	we shall dwell	viharati
cetasā	2	MN 21	with a mind (instr.)	ceto
pharitvā	2	MN 21	having pervaded	pharati
Imañca	2	MN 21	and this (imaṁ + ca)	ima
ovādaṁ	2	MN 21	advice, exhortation (acc.)	ovāda
abhikkhaṇaṁ	2	MN 21	frequently, repeatedly	abhikkhaṇaṁ
nissaraṇaṁ	2	SN 12.4	escape, release (acc.)	nissaraṇa
ananussutesu	2	SN 12.4	in things unheard before (loc. pl.)	ananussuta
āloko	2	SN 12.4	light (nom.)	āloka
yenāyasmā	2	AN 10.60	where the venerable (yena + āyasmā)	āyasmant
panetaṁ	2	AN 10.60	but this (pana + etaṁ)	eta
pittaṁ	2	AN 10.60	bile	pitta
lohitaṁ	2	AN 10.60	blood	lohita
taṇhākkhayo	2	AN 10.60	destruction of craving (nom.)	taṇhākkhaya
cetaso	2	AN 10.60, Ud 8.4	of the mind (gen.)	ceto
assasanto	2	AN 10.60	breathing in (pres. part.)	assasati
assasāmī’ti	2	AN 10.60	'I breathe in' (quote)	assasati
passasanto	2	AN 10.60	breathing out (pres. part.)	passasati
passasāmī’ti	2	AN 10.60	'I breathe out' (quote)	passasati
Sabbakāyapaṭisaṁvedī	2	AN 10.60	experiencing the whole body	sabbakāyapaṭisaṁvedin
kāyasaṅkhāraṁ	2	AN 10.60	the bodily formation (acc.)	kāyasaṅkhāra
Pītipaṭisaṁvedī	2	AN 10.60	experiencing rapture	pītipaṭisaṁvedin
Sukhapaṭisaṁvedī	2	AN 10.60	experiencing pleasure	sukhapaṭisaṁvedin
Cittasaṅkhārapaṭisaṁvedī	2	AN 10.60	experiencing the mental formation	cittasaṅkhārapaṭisaṁvedin
cittasaṅkhāraṁ	2	AN 10.60	the mental formation (acc.)	cittasaṅkhāra
Cittapaṭisaṁvedī	2	AN 10.60	experiencing the mind	cittapaṭisaṁvedin
paṭinissaggānupassī	2	AN 10.60	contemplating relinquishment	paṭinissaggānupassin
Yamakavagga	2	AN 10.61, AN 10.62	the Chapter of Pairs (section title)	yamakavagga
Purimā	2	AN 10.61, AN 10.62	former, earlier (f. nom.)	purima
ito	2	AN 10.61, AN 10.62	from here, from this	ito
nāhosi	2	AN 10.61, AN 10.62	was not (na + ahosi)	hoti
pacchā	2	AN 10.61, AN 10.62	afterwards	pacchā
samabhavī’ti	2	AN 10.61, AN 10.62	'came to be' (quote) (sam + abhavi)	sambhavati
Evañcetaṁ	2	AN 10.61, AN 10.62	and thus this (evaṁ + ca + etaṁ)	eta
idappaccayā	2	AN 10.61, AN 10.62	with this as condition	idappaccayatā
galagalāyante	2	AN 10.61	pouring, roaring down (loc. absolute)	galagalāyati
mr	2	AN 10.61	edition marker — not a word	—
Sattapāhaṁ	2	AN 10.61, AN 10.62	and the seven, I say (satta + pi + ahaṁ)	satta
sattannaṁ	2	AN 10.61, AN 10.62	of seven (gen.)	satta
Cattāropāhaṁ	2	AN 10.61, AN 10.62	and the four, I say (cattāro + pi + ahaṁ)	catu
pāripūrī”ti	2	AN 10.61, AN 10.62	'fulfilment' (quote)	pāripūrī
assaddhammassavanaṁ	2	AN 10.62	hearing what is not the true teaching	assaddhammassavana
dassanaṁ	2	Sn 2.4 / Kp 5	seeing, vision	dassana
padaṃ	2	Kp 9, Ud 8.5	state, place (acc.)	pada
Mānasaṃ	2	Kp 9	heart, mind (acc.)	mānasa
aparimānaṃ	2	Kp 9	boundless (acc.)	aparimāṇa
najjā	2	Ud 1.1, Ud 1.1, 1.2, 1.3	of the river (gen.)	nadī
tīre	2	Ud 1.1, Ud 1.1, 1.2, 1.3	on the bank (loc.)	tīra
bodhirukkhamūle	2	Ud 1.1, Ud 1.1, 1.2, 1.3	at the foot of the Bodhi tree (loc.)	bodhirukkhamūla
paṭhamābhisambuddho	2	Ud 1.1, Ud 1.1, 1.2, 1.3	newly fully awakened (nom.)	paṭhamābhisambuddha
sattāhaṁ	2	Ud 1.1, Ud 1.1, 1.2, 1.3	for seven days (acc.)	sattāha
ekapallaṅkena	2	Ud 1.1, Ud 1.1, 1.2, 1.3	in a single cross-legged sitting (instr.)	ekapallaṅka
sattāhassa	2	Ud 1.1, Ud 1.1, 1.2, 1.3	of the seven days (gen.)	sattāha
yāmaṁ	2	Ud 1.1, Ud 1.1, 1.2, 1.3	watch (of the night) (acc.)	yāma
manasākāsi	2	Ud 1.1, Ud 1.1, 1.2, 1.3	gave attention (manasi + akāsi)	manasikaroti
imassuppādā	2	Ud 1.1, Ud 1.1, 1.2, 1.3	from the arising of this (imassa + uppādā)	uppāda
Yadā	2	Ud 1.1, Ud 1.1, 1.2, 1.3	when	yadā
pātubhavanti	2	Ud 1.1, Ud 1.1, 1.2, 1.3	appear, become manifest	pātubhavati
jhāyato	2	Ud 1.1, Ud 1.1, 1.2, 1.3	for one meditating (gen. pres. part.)	jhāyati
kaṅkhā	2	Ud 1.1, Ud 1.1, 1.2, 1.3	doubts (nom. pl.)	kaṅkhā
vapayanti	2	Ud 1.1, Ud 1.1, 1.2, 1.3	vanish, disappear	vapayāti
sahetudhamman”ti	2	Ud 1.1, Ud 1.1, 1.2, 1.3	'phenomena with their causes' (quote)	sahetudhamma
mallesu	2	Ud 8.5	among the Mallas (loc. pl.)	malla
cārikaṁ	2	Ud 8.5	wandering tour (acc.)	cārikā
caramāno	2	Ud 8.5	wandering (pres. part. nom.)	carati
pāvāyaṁ	2	Ud 8.5	in Pāvā (loc.)	pāvā
Adhivāsesi	2	Ud 8.5	consented, accepted	adhivāseti
kālaṁ	2	Ud 8.5, Ud 8.9	the time (acc.)	kāla
panaññaṁ	2	Ud 8.5	but another (pana + aññaṁ)	añña
bhikkhusaṅghaṁ	2	Ud 8.5	the community of monks (acc.)	bhikkhusaṅgha
parivisi	2	Ud 8.5	served (with food)	parivisati
avasiṭṭhaṁ	2	Ud 8.5	left over, remaining (acc.)	avasiṭṭha
sobbhe	2	Ud 8.5	in a pit (loc.)	sobbha
bhuñjitvā	2	Ud 8.5	having eaten	bhuñjati
paññāpehi	2	Ud 8.5	prepare, lay out! (imperative)	paññāpeti
kilantosmi	2	Ud 8.5	I am tired (kilanto + asmi)	kilanta
āhara	2	Ud 8.5	bring! (imperative)	āharati
pipāsitosmi	2	Ud 8.5	I am thirsty (pipāsito + asmi)	pipāsita
pivissāmī”ti	2	Ud 8.5	'I shall drink' (quote)	pivati
kukudhā	2	Ud 8.5	the Kakutthā river (nom.)	kukudhā
Dutiyampi	2	Ud 8.5, Ud 8.7	for the second time (dutiyaṁ + pi)	dutiya
acchariyaṁ	2	Ud 8.5	wonderful, marvellous	acchariya
abbhutaṁ	2	Ud 8.5	amazing	abbhuta
mahiddhikatā	2	Ud 8.5	great spiritual power (nom.)	mahiddhikatā
mahānubhāvatā	2	Ud 8.5	great majesty (nom.)	mahānubhāvatā
Ayañhi	2	Ud 8.5	for this (ayaṁ + hi)	ima
Pivatu	2	Ud 8.5	let him drink (imperative)	pivati
kukudhaṁ	2	Ud 8.5	the Kakutthā river (acc.)	kukudhā
nhatvā	2	Ud 8.5	having bathed	nahāyati
pivitvā	2	Ud 8.5	having drunk	pivati
ambavanaṁ	2	Ud 8.5	mango grove (acc.)	ambavana
cundakaṁ	2	Ud 8.5	Cundaka (name, acc.)	cundaka
cundaka	2	Ud 8.5	Cundaka (name, vocative)	cundaka
cundako	2	Ud 8.5	Cundaka (name, nom.)	cundaka
tattheva	2	Ud 8.5, Ud 8.7	right there (tattha + eva)	tattha
sukilantarūpo	2	Ud 8.5	deeply exhausted (nom.)	sukilantarūpa
Cundassānanda	2	Ud 8.5	of Cunda, Ānanda (cundassa + ānanda)	cunda
vippaṭisāro	2	Ud 8.5	remorse, regret (nom.)	vippaṭisāra
Sammukhā	2	Ud 8.5	face to face, in (his) presence	sammukhā
piṇḍapātā	2	Ud 8.5	alms-meals (nom. pl.)	piṇḍapāta
samasamaphalā	2	Ud 8.5	of exactly equal fruit (nom. pl.)	samasamaphala
samasamavipākā	2	Ud 8.5	of exactly equal result (nom. pl.)	samasamavipāka
aññehi	2	Ud 8.5	than other (instr. pl.)	añña
piṇḍapātehi	2	Ud 8.5	alms-meals (instr. pl.)	piṇḍapāta
mahapphalatarā	2	Ud 8.5	of much greater fruit	mahapphalatara
mahānisaṁsatarā	2	Ud 8.5	of much greater benefit	mahānisaṁsatara
Yañca	2	Ud 8.5	and which (yaṁ + ca)	ya
pāpakaṁ	2	Ud 8.5, Ud 8.7	evil, bad (acc.)	pāpaka
Pañcamaṁ	2	Ud 8.5, Iti 15	the fifth (section ending)	pañcama
nāgasamālaṁ	2	Ud 8.7	Nāgasamāla (acc.)	nāgasamāla
nāgasamāla	2	Ud 8.7	Nāgasamāla (vocative)	nāgasamāla
panthena	2	Ud 8.7	by the path (instr.)	pantha
nikkhamitvā	2	Ud 8.7	having come out	nikkhamati
hatthehi	2	Ud 8.7	with hands (instr. pl.)	hattha
pādehi	2	Ud 8.7	with feet (instr. pl.)	pāda
ākoṭesuṁ	2	Ud 8.7	they beat, struck	ākoṭeti
pattañca	2	Ud 8.7	and the bowl (pattaṁ + ca)	patta
bhindiṁsu	2	Ud 8.7	they broke	bhindati
Sattamaṁ	2	Ud 8.7, Iti 7	the seventh (section ending)	sattama
mallaputtassa	2	Ud 8.9	of Mallaputta (gen.)	mallaputta
sarīrassa	2	Ud 8.9	of the body (gen.)	sarīra
paññāyittha	2	Ud 8.9	was seen, was evident	paññāyati
masi	2	Ud 8.9	soot, charred residue	masi
aññaṁ	2	Iti 14, Iti 15	another (acc.)	añña
samanupassāmi	2	Iti 14, Iti 15	I see, I regard	samanupassati
saṁyuttā	2	Iti 15	bound, fettered (nom. pl.)	saṁyutta
panāhaṁ	2	Iti 22	but I (pana + ahaṁ)	ahaṁ
homi	2	Iti 22	I am, I become	hoti
phalaṁ	2	Iti 22	fruit, result	phala
vipāko	2	Iti 22	result, ripening (nom.)	vipāka
yenāhaṁ	2	Iti 22	by which I (yena + ahaṁ)	ahaṁ
evaṁmahiddhiko	2	Iti 22	of such great spiritual power (nom.)	evaṁmahiddhika
mahā	2	Iti 24	great	mahant
vepullo	2	Iti 24	Vepulla (mountain, nom.)	vepulla
pabbato	2	Iti 24	mountain (nom.)	pabbata
Ubhatodaṇḍakena	1	MN 21	with a two-handled (saw) (instr.)	ubhatodaṇḍaka
cepi	1	MN 21	even if (ce + api)	ce
kakacena	1	MN 21	with a saw (instr.)	kakaca
ocarakā	1	MN 21	low-down, criminal (bandits)	ocaraka
aṅgamaṅgāni	1	MN 21	limb by limb (acc. pl.)	aṅgamaṅga
okanteyyuṁ	1	MN 21	should cut off	okantati
padūseyya	1	MN 21	should defile, corrupt	padūseti
sāsanakaro	1	MN 21	one who carries out my teaching (nom.)	sāsanakara
ceva	1	MN 21	and also (ca + eva)	ca
vipariṇataṁ	1	MN 21	altered, changed for the worse	vipariṇata
pāpikaṁ	1	MN 21	evil (f. acc.)	pāpaka
nicchāressāma	1	MN 21	we shall utter	nicchāreti
hitānukampī	1	MN 21	compassionate for (their) welfare	hitānukampin
dosantarā	1	MN 21	with inner hate	dosantara
Tañca	1	MN 21	and that (taṁ + ca)	ta
tadārammaṇañca	1	MN 21	and with that as basis (tad + ārammaṇaṁ + ca)	ārammaṇa
vipulena	1	MN 21	abundant, vast (instr.)	vipula
appamāṇena	1	MN 21	boundless (instr.)	appamāṇa
averena	1	MN 21	free of hatred (instr.)	avera
abyābajjhena	1	MN 21	free of ill will (instr.)	abyābajjha
viharissāmā’ti	1	MN 21	'we shall dwell' (quote)	viharati
Evañhi	1	MN 21	for thus (evaṁ + hi)	evaṁ
kareyyātha	1	MN 21	you should do, train (pl.)	karoti
imañce	1	MN 21	if this (imaṁ + ce)	ima
vacanapathaṁ	1	MN 21	way of speech (acc.)	vacanapatha
thūlaṁ	1	MN 21	coarse (acc.)	thūla
nādhivāseyyāthā”ti	1	MN 21	'you should not tolerate' (na + adhivāseyyātha, quote)	adhivāseti
manasikarotha	1	MN 21	keep in mind! (pl. imperative)	manasikaroti
hitāya	1	MN 21	for the welfare (dat.)	hita
Attamanā	1	MN 21	delighted (nom. pl.)	attamana
abhinandunti	1	MN 21	they rejoiced (abhinanduṁ + ti, quote)	abhinandati
sattanikāyā	1	SN 12.2	class, order of beings (abl./nom. pl.)	sattanikāya
ayañca	1	SN 12.2	and this (ayaṁ + ca)	ima
kāmabhavo	1	SN 12.2	existence in the sense sphere (nom.)	kāmabhava
rūpabhavo	1	SN 12.2	existence in the form sphere (nom.)	rūpabhava
arūpabhavo	1	SN 12.2	existence in the formless sphere (nom.)	arūpabhava
Cattārimāni	1	SN 12.2	these four (cattāri + imāni)	catu
kāmupādānaṁ	1	SN 12.2	clinging to sense pleasures	kāmupādāna
diṭṭhupādānaṁ	1	SN 12.2	clinging to views	diṭṭhupādāna
sīlabbatupādānaṁ	1	SN 12.2	clinging to rites and observances	sīlabbatupādāna
attavādupādānaṁ	1	SN 12.2	clinging to a doctrine of self	attavādupādāna
rūpataṇhā	1	SN 12.2	craving for sights, forms	rūpataṇhā
saddataṇhā	1	SN 12.2	craving for sounds	saddataṇhā
gandhataṇhā	1	SN 12.2	craving for smells	gandhataṇhā
rasatahā	1	SN 12.2	craving for tastes (misprint for rasataṇhā)	rasataṇhā
phoṭṭhabbataṇhā	1	SN 12.2	craving for touches	phoṭṭhabbataṇhā
dhammataṇhā	1	SN 12.2	craving for mental objects	dhammataṇhā
cakkhusamphassajā	1	SN 12.2	born of eye-contact	cakkhusamphassaja
sotasamphassajā	1	SN 12.2	born of ear-contact	sotasamphassaja
ghānasamphassajā	1	SN 12.2	born of nose-contact	ghānasamphassaja
jivhāsamphassajā	1	SN 12.2	born of tongue-contact	jivhāsamphassaja
kāyasamphassajā	1	SN 12.2	born of body-contact	kāyasamphassaja
manosamphassajā	1	SN 12.2	born of mind-contact	manosamphassaja
sotasamphasso	1	SN 12.2	ear-contact (nom.)	sotasamphassa
ghānasamphasso	1	SN 12.2	nose-contact (nom.)	ghānasamphassa
jivhāsamphasso	1	SN 12.2	tongue-contact (nom.)	jivhāsamphassa
kāyasamphasso	1	SN 12.2	body-contact (nom.)	kāyasamphassa
manosamphasso	1	SN 12.2	mind-contact (nom.)	manosamphassa
Cakkhāyatanaṁ	1	SN 12.2	the eye sense-sphere	cakkhāyatana
sotāyatanaṁ	1	SN 12.2	the ear sense-sphere	sotāyatana
ghānāyatanaṁ	1	SN 12.2	the nose sense-sphere	ghānāyatana
jivhāyatanaṁ	1	SN 12.2	the tongue sense-sphere	jivhāyatana
kāyāyatanaṁ	1	SN 12.2	the body sense-sphere	kāyāyatana
manāyatanaṁ	1	SN 12.2	the mind sense-sphere	manāyatana
catunnañca	1	SN 12.2	and of the four (catunnaṁ + ca)	catu
cakkhuviññāṇaṁ	1	SN 12.2	eye-consciousness	cakkhuviññāṇa
sotaviññāṇaṁ	1	SN 12.2	ear-consciousness	sotaviññāṇa
ghānaviññāṇaṁ	1	SN 12.2	nose-consciousness	ghānaviññāṇa
jivhāviññāṇaṁ	1	SN 12.2	tongue-consciousness	jivhāviññāṇa
kāyaviññāṇaṁ	1	SN 12.2	body-consciousness	kāyaviññāṇa
manoviññāṇaṁ	1	SN 12.2	mind-consciousness	manoviññāṇa
Kateme	1	SN 12.2	what are these? (katame, misprint)	katama
kāyasaṅkhāro	1	SN 12.2	the bodily formation (nom.)	kāyasaṅkhāra
cittasaṅkhāro	1	SN 12.2	the mental formation (nom.)	cittasaṅkhāra
pubbeva	1	SN 12.4	even before (pubbe + eva)	pubba
sambodhā	1	SN 12.4	before awakening (abl.)	sambodha
kicchaṁ	1	SN 12.4	trouble, hardship (acc.)	kiccha
jāyati	1	SN 12.4	is born	jāyati
jīyati	1	SN 12.4	ages, decays	jīyati
mīyati	1	SN 12.4	dies	mīyati
cavati	1	SN 12.4	passes away	cavati
panimassa	1	SN 12.4	but of this (pana + imassa)	ima
nappajānāti	1	SN 12.4	does not understand (na + pajānāti)	pajānāti
Kudāssu	1	SN 12.4	when indeed? (kudā + assu)	kudā
paññāyissati	1	SN 12.4	will be discerned, known	paññāyati
Sattannampi	1	SN 12.4	even of the seven (sattannaṁ + pi)	satta
vitthāretabbo	1	SN 12.4	should be expanded in full	vitthāreti
upādāyā”ti	1	AN 10.60	'derived from, clinging to' (quote)	upādiyati
pādatalā	1	AN 10.60	from the soles of the feet (abl.)	pādatala
kesamatthakā	1	AN 10.60	from the tips of the hair (abl.)	kesamatthaka
tacapariyantaṁ	1	AN 10.60	bounded by skin (acc.)	tacapariyanta
pūraṁ	1	AN 10.60	full (acc.)	pūra
nānāppakārassa	1	AN 10.60	of various kinds (gen.)	nānāppakāra
asucino	1	AN 10.60	of impurity (gen.)	asuci
paccavekkhati	1	AN 10.60	reviews, reflects on	paccavekkhati
kesā	1	AN 10.60	head hairs	kesa
lomā	1	AN 10.60	body hairs	loma
nakhā	1	AN 10.60	nails	nakha
dantā	1	AN 10.60	teeth	danta
taco	1	AN 10.60	skin (nom.)	taca
nhāru	1	AN 10.60	sinews	nhāru
aṭṭhi	1	AN 10.60	bones	aṭṭhi
aṭṭhimiñjaṁ	1	AN 10.60	bone marrow	aṭṭhimiñjā
vakkaṁ	1	AN 10.60	kidneys	vakka
hadayaṁ	1	AN 10.60	heart	hadaya
yakanaṁ	1	AN 10.60	liver	yakana
kilomakaṁ	1	AN 10.60	pleura, membranes	kilomaka
pihakaṁ	1	AN 10.60	spleen	pihaka
papphāsaṁ	1	AN 10.60	lungs	papphāsa
antaguṇaṁ	1	AN 10.60	mesentery	antaguṇa
udariyaṁ	1	AN 10.60	stomach contents	udariya
karīsaṁ	1	AN 10.60	feces	karīsa
semhaṁ	1	AN 10.60	phlegm	semha
pubbo	1	AN 10.60	pus (nom.)	pubba
sedo	1	AN 10.60	sweat	seda
medo	1	AN 10.60	fat	meda
vasā	1	AN 10.60	grease	vasā
kheḷo	1	AN 10.60	saliva	kheḷa
siṅghāṇikā	1	AN 10.60	snot, nasal mucus	siṅghāṇikā
lasikā	1	AN 10.60	synovial fluid	lasikā
bahudukkho	1	AN 10.60	having much suffering (nom.)	bahudukkha
bahuādīnavo	1	AN 10.60	having many dangers (nom.)	bahuādīnava
vividhā	1	AN 10.60	various (nom. pl.)	vividha
cakkhurogo	1	AN 10.60	eye disease	cakkhuroga
